email,business_name,subject,body,phone,industry,location
office@alpineelitegym.com,Alpine Elite Gymnastics,Free Google Profile Audit for Alpine Elite Gymnastics,"Hi,

I run a Google Business Profile optimization service in North Idaho, and I'm offering free audits to gym businesses this week.

I took a quick look at Alpine Elite Gymnastics's profile and found some opportunities:

• Only 1 photos (needs 20+)
• Only 9 reviews (low social proof)

If you're interested, I can send you a detailed audit report (free, no obligation) showing:
✓ Your current profile score vs. competitors
✓ Exactly what's missing
✓ Estimated impact on calls/traffic

Just reply ""send it"" and I'll email it over.

If not interested, no worries - I won't bug you again!

Best,
Visible Local
contact@visiblelocal.co
North Idaho",(208) 254-1173,gym,"Sandpoint, ID"
corrinajbarrett@gmail.com,Xhale Pilates Studio,Free Google Profile Audit for Xhale Pilates Studio,"Hi,

I run a Google Business Profile optimization service in North Idaho, and I'm offering free audits to gym businesses this week.

I took a quick look at Xhale Pilates Studio's profile and found some opportunities:

• Only 0 photos (needs 20+)
• Only 4 reviews (low social proof)

If you're interested, I can send you a detailed audit report (free, no obligation) showing:
✓ Your current profile score vs. competitors
✓ Exactly what's missing
✓ Estimated impact on calls/traffic

Just reply ""send it"" and I'll email it over.

If not interested, no worries - I won't bug you again!

Best,
Visible Local
contact@visiblelocal.co
North Idaho",(208) 755-2687,gym,"Sandpoint, ID"
uniquefitnesssandpoint@gmail.com,Unique Fitness (UFIT),Free Google Profile Audit for Unique Fitness (UFIT),"Hi,

I run a Google Business Profile optimization service in North Idaho, and I'm offering free audits to gym businesses this week.

I took a quick look at Unique Fitness (UFIT)'s profile and found some opportunities:

• Only 25 reviews (low social proof)
• Established business (has reviews)

If you're interested, I can send you a detailed audit report (free, no obligation) showing:
✓ Your current profile score vs. competitors
✓ Exactly what's missing
✓ Estimated impact on calls/traffic

Just reply ""send it"" and I'll email it over.

If not interested, no worries - I won't bug you again!

Best,
Visible Local
contact@visiblelocal.co
North Idaho",(208) 627-6079,gym,"Sandpoint, ID"
missi@missibalisonfitness.com,Missi Balison Fitness,Free Google Profile Audit for Missi Balison Fitness,"Hi,

I run a Google Business Profile optimization service in North Idaho, and I'm offering free audits to gym businesses this week.

I took a quick look at Missi Balison Fitness's profile and found some opportunities:

• Established business (has reviews)
• Good rating (cares about reputation)

If you're interested, I can send you a detailed audit report (free, no obligation) showing:
✓ Your current profile score vs. competitors
✓ Exactly what's missing
✓ Estimated impact on calls/traffic

Just reply ""send it"" and I'll email it over.

If not interested, no worries - I won't bug you again!

Best,
Visible Local
contact@visiblelocal.co
North Idaho",(208) 290-2081,gym,"Sandpoint, ID"
hi@typemade.mx,BarreX Fitness and Dance,Free Google Profile Audit for BarreX Fitness and Dance,"Hi,

I run a Google Business Profile optimization service in North Idaho, and I'm offering free audits to gym businesses this week.

I took a quick look at BarreX Fitness and Dance's profile and found some opportunities:

• Only 1 reviews (low social proof)
• Good rating (cares about reputation)

If you're interested, I can send you a detailed audit report (free, no obligation) showing:
✓ Your current profile score vs. competitors
✓ Exactly what's missing
✓ Estimated impact on calls/traffic

Just reply ""send it"" and I'll email it over.

If not interested, no worries - I won't bug you again!

Best,
Visible Local
contact@visiblelocal.co
North Idaho",(208) 946-7861,gym,"Sandpoint, ID"
revivalsalon208@gmail.com,Revival Salon,Free Google Profile Audit for Revival Salon,"Hi,

I run a Google Business Profile optimization service in North Idaho, and I'm offering free audits to salon businesses this week.

I took a quick look at Revival Salon's profile and found some opportunities:

• Only 23 reviews (low social proof)
• Established business (has reviews)

If you're interested, I can send you a detailed audit report (free, no obligation) showing:
✓ Your current profile score vs. competitors
✓ Exactly what's missing
✓ Estimated impact on calls/traffic

Just reply ""send it"" and I'll email it over.

If not interested, no worries - I won't bug you again!

Best,
Visible Local
contact@visiblelocal.co
North Idaho",(602) 614-9200,salon,"Sandpoint, ID"
info@fifthelementhairstudio.com,Fifth Element Hair Studio,Free Google Profile Audit for Fifth Element Hair Studio,"Hi,

I run a Google Business Profile optimization service in North Idaho, and I'm offering free audits to salon businesses this week.

I took a quick look at Fifth Element Hair Studio's profile and found some opportunities:

• Established business (has reviews)
• Good rating (cares about reputation)

If you're interested, I can send you a detailed audit report (free, no obligation) showing:
✓ Your current profile score vs. competitors
✓ Exactly what's missing
✓ Estimated impact on calls/traffic

Just reply ""send it"" and I'll email it over.

If not interested, no worries - I won't bug you again!

Best,
Visible Local
contact@visiblelocal.co
North Idaho",(208) 304-4346,salon,"Sandpoint, ID"
alignhairsandpoint@gmail.com,Align Holistic Hair & Wellbeing,Free Google Profile Audit for Align Holistic Hair & Wellbeing,"Hi,

I run a Google Business Profile optimization service in North Idaho, and I'm offering free audits to salon businesses this week.

I took a quick look at Align Holistic Hair & Wellbeing's profile and found some opportunities:

• Established business (has reviews)
• Good rating (cares about reputation)

If you're interested, I can send you a detailed audit report (free, no obligation) showing:
✓ Your current profile score vs. competitors
✓ Exactly what's missing
✓ Estimated impact on calls/traffic

Just reply ""send it"" and I'll email it over.

If not interested, no worries - I won't bug you again!

Best,
Visible Local
contact@visiblelocal.co
North Idaho",(208) 255-6998,salon,"Sandpoint, ID"
rasorsedgesalon@gmail.com,"Rasor's Edge Salon, LLC","Free Google Profile Audit for Rasor's Edge Salon, LLC","Hi,

I run a Google Business Profile optimization service in North Idaho, and I'm offering free audits to salon businesses this week.

I took a quick look at Rasor's Edge Salon, LLC's profile and found some opportunities:

• Missing business hours
• Good rating (cares about reputation)

If you're interested, I can send you a detailed audit report (free, no obligation) showing:
✓ Your current profile score vs. competitors
✓ Exactly what's missing
✓ Estimated impact on calls/traffic

Just reply ""send it"" and I'll email it over.

If not interested, no worries - I won't bug you again!

Best,
Visible Local
contact@visiblelocal.co
North Idaho",(208) 763-8078,salon,"Sandpoint, ID"
john@danaconst.com,Dana Construction Company LLC,Free Google Profile Audit for Dana Construction Company LLC,"Hi,

I run a Google Business Profile optimization service in North Idaho, and I'm offering free audits to contractor businesses this week.

I took a quick look at Dana Construction Company LLC's profile and found some opportunities:

• Only 0 photos (needs 20+)
• Only 5 reviews (low social proof)

If you're interested, I can send you a detailed audit report (free, no obligation) showing:
✓ Your current profile score vs. competitors
✓ Exactly what's missing
✓ Estimated impact on calls/traffic

Just reply ""send it"" and I'll email it over.

If not interested, no worries - I won't bug you again!

Best,
Visible Local
contact@visiblelocal.co
North Idaho",(208) 691-2042,contractor,"Sandpoint, ID"
customizingyourhome@gmail.com,Durfee Construction LLC,Free Google Profile Audit for Durfee Construction LLC,"Hi,

I run a Google Business Profile optimization service in North Idaho, and I'm offering free audits to contractor businesses this week.

I took a quick look at Durfee Construction LLC's profile and found some opportunities:

• Only 6 photos (needs 20+)
• Only 5 reviews (low social proof)

If you're interested, I can send you a detailed audit report (free, no obligation) showing:
✓ Your current profile score vs. competitors
✓ Exactly what's missing
✓ Estimated impact on calls/traffic

Just reply ""send it"" and I'll email it over.

If not interested, no worries - I won't bug you again!

Best,
Visible Local
contact@visiblelocal.co
North Idaho",(208) 920-0925,contractor,"Sandpoint, ID"
Office@mvcsandpoint.com,Mountain View Construction,Free Google Profile Audit for Mountain View Construction,"Hi,

I run a Google Business Profile optimization service in North Idaho, and I'm offering free audits to contractor businesses this week.

I took a quick look at Mountain View Construction's profile and found some opportunities:

• Only 9 photos (needs 20+)
• Only 5 reviews (low social proof)

If you're interested, I can send you a detailed audit report (free, no obligation) showing:
✓ Your current profile score vs. competitors
✓ Exactly what's missing
✓ Estimated impact on calls/traffic

Just reply ""send it"" and I'll email it over.

If not interested, no worries - I won't bug you again!

Best,
Visible Local
contact@visiblelocal.co
North Idaho",(208) 263-1058,contractor,"Sandpoint, ID"
